,Title,Prompt,Choice1,Choice2,Choice3,Choice4
0,Party Night,A friend asks you to go to a party all night off campus and offers you a ride there.,"(Name=""Let's Party"",Conclusion=""You spend the night partying. Who needs sleep?"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Refuse"",Conclusion=""You choose to study at home, paying for dinner"",dMoney=10,dStudy=10,dEducation=0,dEntertainment=0,dFood=10,dHousing=0,dTransportation=0,Exists=True)","(Name=""Go, But Study There"",Conclusion=""Trying to study in a party environment is not the most efficient, but it's something"",dMoney=0,dStudy=3,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Go For a Few Hours"",Conclusion=""You leave early to study, paying for your ride back"",dMoney=25,dStudy=5,dEducation=0,dEntertainment=0,dFood=0,dHousing=0,dTransportation=25,Exists=True)"
1,VSA Moon Festival,VSA is hosting its annual Moon Festival tonight! ,"(Name=""Celebrate"",Conclusion=""You took the evening to participate in the festivities"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Pass"",Conclusion=""You would rather have more time to study."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
2,Career Fair,"It's time for the career fair, and hiring companies from all over congregate at Georgia Tech.","(Name=""Full Experience"",Conclusion=""You prepare your resume and spend multiple days to get the most out of career fair"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Spend a Few Hours"",Conclusion=""You take one day, but you need some time to study."",dMoney=0,dStudy=3,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Skip"",Conclusion=""Yo don't even want to think about getting a job yet. More time for studying."",dMoney=0,dStudy=10,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
3,Movie Premeire,The long awaited movie is now in theaters!,"(Name=""Call an Uber"",Conclusion=""You pay for transportation to the theater and watch."",dMoney=30,dStudy=0,dEducation=0,dEntertainment=10,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Carpool With Friends"",Conclusion=""You split the costs of transportation with friends."",dMoney=15,dStudy=0,dEducation=0,dEntertainment=10,dFood=0, dHousing=0,dTransportation=5,Exists=True)","(Name=""Walk"",Conclusion=""It's free, but did you really want to walk that far?"",dMoney=10,dStudy=0,dEducation=0,dEntertainment=10,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Don't Go"",Conclusion=""You wait for the movie to come out on digital instead."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=20,Exists=True)"
4,Plus Session,An extra study session is offered tonight by the teaching assistants,"(Name=""Attend"",Conclusion=""You take the evening to get caught up on course concepts."",dMoney=0,dStudy=10,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Relax"",Conclusion=""You are confident that this is unnecessary for your success."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
5,Class Cancelled,"One of your classes was canceled unexpectedly, leaving a free block of time.","(Name=""Study"",Conclusion=""That was the original plan, anyway."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Go to the Lounge"",Conclusion=""You go socialize with some games at the lounge, spending a bit of oney"",dMoney=5,dStudy=0,dEducation=0,dEntertainment=5,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Go to a Restaraunt"",Conclusion=""Food is always a good choice."",dMoney=10,dStudy=0,dEducation=0,dEntertainment=0,dFood=10, dHousing=0,dTransportation=0,Exists=True)","(Name=""Sleep"",Conclusion=""Not a substitute for 8 hours at night, but still nice."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)"
6,Sudden Request,A friend messages you asking for a ride back to campus late at night,"(Name=""Help Them"",Conclusion=""As a good friend, you pick them up without too many questions."",dMoney=20,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=20,Exists=True)","(Name=""Not my Problem"",Conclusion=""You decide their emergency is not your emergency."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
7,Group Meeting,You get to decide where to meet for your group project today.,"(Name=""Restaurant"",Conclusion=""A popular choice, although eating and working is less effective."",dMoney=10,dStudy=3,dEducation=0,dEntertainment=0,dFood=10, dHousing=0,dTransportation=20,Exists=True)","(Name=""Park"",Conclusion=""You all get transportation to a quiet place off campus."",dMoney=30,dStudy=10,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=30,Exists=True)","(Name=""On Campus"",Conclusion=""You meet in a breakout room on campus. Simple and effective"",dMoney=0,dStudy=0,dEducation=8,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Remote Call"",Conclusion=""Easy, but work is more effective in person."",dMoney=0,dStudy=5,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)"
8,Club Meeting,You're interested in trying out a new club that has a meeting today.,"(Name=""Attend"",Conclusion=""You go and decide for yourself later whether it's a good fit."",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Too Nervous"",Conclusion=""You don't feel like taking this social commitment and study instead."",dMoney=0,dStudy=2,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
9,Dorm Error,One of the kitchen appliances in your dorm is broken.,"(Name=""Maintenance Request"",Conclusion=""Housing fixes the issue for free"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=True)","(Name=""Fix Yourself"",Conclusion=""No need to do this instead of submit a maintenance request aside from personal fulfillment"",dMoney=15,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=15,dTransportation=0,Exists=True)","(Name=""Ignore the Problem"",Conclusion=""At the end of the semester, you are charged for the broken appliance."",dMoney=50,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=50,dTransportation=0,Exists=True)","(Name=""Not A Choice"",Conclusion=""Not A Choice"",dMoney=0,dStudy=0,dEducation=0,dEntertainment=0,dFood=0, dHousing=0,dTransportation=0,Exists=False)"
