,Date,Title,Term,Description,Associated Link,Category,Term Code
0,01/20/2020 (All day) to 05/22/2020 (All day),Online Application for Graduation Window,All Summer Sessions 2020,(null),(null),Graduation Event,202005
1,01/20/2020 (All day) to 08/21/2020 (All day),Online Application for Graduation Window,Fall 2020,(null),(null),Graduation Event,202008
2,02/01/2020 (All day),Readmission Application Deadline,All Summer Sessions 2020,Readmission application deadline for students with an academic standing of drop or review. All other readmission applicants see April 1.,(null),No Category,202005
3,03/10/2020 (All day),Schedule of Classes Available Online,All Summer Sessions 2020,(null),(null),Registration Event,202005
4,03/10/2020 (All day),Schedule of Classes Available Online,Fall 2020,(null),(null),Registration Event,202008
5,03/19/2020 (All day),Time Tickets,All Summer Sessions 2020,Time tickets will post for all eligible students at 6:00 pm Eastern Time.,(null),Registration Event,202005
6,03/19/2020 (All day),Time Tickets - Phase I Registration,Fall 2020,Time Tickets will post for all eligible students at 6:00 pm Eastern Time.,(null),Registration Event,202008
7,03/23/2020 (All day) to 05/15/2020 (All day),Registration,All Summer Sessions 2020,"Current Students - Registration ends at 4:00pm Eastern Time. Incoming Summer Freshmen see Late Summer Session Calendar, June 11-18.  ",(null),Registration Event,202005
8,03/23/2020 (All day) to 05/15/2020 (All day),Phase I Registration ,Fall 2020,Current Students - Registration ends at 4:00 pm eastern Time May 15th.,(null),Registration Event,202008
9,04/01/2020 (All day),Readmission Application Deadline,All Summer Sessions 2020,The deadline for readmission applications with an academic standing of drop or review was February 1.,(null),No Category,202005
10,04/15/2020 (All day),Cross Registration Application Deadline,All Summer Sessions 2020,Last day to apply for cross registration for Summer 2020.  ,(null),Registration Event,202005
11,04/27/2020 (All day) to 05/15/2020 (All day),Tuition Assistance Program Registration,All Summer Sessions 2020," Registration for benefits-eligible employees participating in the Tuition Assistance Program (TAP).   Registration ends at 4:00pm Eastern Time on May 15, 2020.
",https://hr.gatech.edu/TAP,Registration Event,202005
12,05/01/2020 (All day),Deadline for Out-of-State Tuition Waivers,All Summer Sessions 2020,All decisions will be sent after the deadline.  ,(null),No Category,202005
13,05/05/2020 - 15:00 to 17:00,Institute Undergraduate Curriculum Committee,All Summer Sessions 2020,(null),http://icc.gatech.edu,(null),202005
14,05/11/2020 (All day),First Day of Classes,Full Summer 2020,(null),(null),No Category,202005
15,05/11/2020 (All day),First Day of Classes,Early Short Summer 2020,(null),(null),No Category,202005
16,05/15/2020 (All day),Registration/Schedule Change Deadline for Returning Students,All Summer Sessions 2020,"Last day to register, make schedule changes and/or drop courses without a ""W"" grade for Early Short Summer, Late Short Summer, and Full Summer Sessions by 4:00pm Eastern Time. No changes to/from audit mode permitted after the registration deadline.  ",(null),Registration Event,202005
17,05/18/2020 (All day) to 05/22/2020 (All day),Verification of Participation in Class - Faculty Only,Full Summer 2020,Full Summer Session - Reports due May 22nd by 4:00pm Eastern Time,(null),No Category,202005
18,05/18/2020 (All day),Payment Deadline,All Summer Sessions 2020,Returning Students - Deadline to avoid class cancellation by 4:00pm Eastern Time. Incoming Summer Freshman Students see Late Summer Session calendar.  ,(null),Registration Event,202005
19,05/18/2020 (All day) to 05/22/2020 (All day),Verification of Participation in Class,Early Short Summer 2020,"Opens May 18, 2020. Reports due by 4:00 pm Eastern Time May 22, 2020.  ",(null),No Category,202005
20,05/19/2020 - 15:00 to 17:00,Institute Undergraduate Curriculum Committee,All Summer Sessions 2020,(null),http://icc.gatech.edu,(null),202005
21,05/21/2020 - 15:00 to 17:00,Institute Graduate Curriculum Committee,All Summer Sessions 2020,(null),http://icc.gatech.edu,(null),202005
22,05/22/2020 (All day),Deadline for Submitting Online Application for Graduation,All Summer Sessions 2020,(null),(null),Graduation Event,202005
23,05/22/2020 (All day),Deadline for Masters Program of Study,All Summer Sessions 2020,(null),(null),Graduation Event,202005
24,05/25/2020 (All day),Official Institute Holiday,All Summer Sessions 2020,Memorial Day,(null),Holiday Break,202005
25,06/01/2020 (All day),Withdrawal Deadline,Early Short Summer 2020,"Last day to withdraw from a single course or from school with ""W"" grades. Students must withdraw from all classes in order to receive a refund. Deadline is 4:00 pm Eastern Time. Incoming Summer Freshman students see Late Summer Session calendar.  ",(null),Registration Event,202005
26,06/01/2020 (All day),Readmission Application Deadline,Fall 2020,Readmission application deadline for students with an academic standing of drop or review.  Others applying for readmission see July 1.,(null),No Category,202008
